,lp1_le,lp12_ss,lp43_ss,lp12_ps,lp43_ps,lp4_te,t_le,t_te,ar_le,ar_te,mu_le,mu_te,ss2,ss3,ps2,ps3
-0.05,0.20000000000000004,0.3,0.3,0.3,0.3,0.3,0.018200000000000004,0.018200000000000004,2.0,2.0000000000000004,14.000000000000002,8.0,0.35000000000000003,0.20000000000000004,0.25,0.22000000000000003
0.0,0.20000000000000007,0.3000000000000001,0.29852637021716666,0.3000000000000001,0.29852637021716666,0.29852637021716666,0.018215965388180325,0.0182211959799303,1.9864809185889933,1.9946889323099322,14.111975784521817,8.056440443344446,0.3482155617143515,0.19749736051476507,0.24741487802673415,0.21902549956566705
0.05,0.20000000000000007,0.30000000000000016,0.3000000000000001,0.30000000000000016,0.3000000000000001,0.3000000000000001,0.018200000000000004,0.0182,2.0000000000000004,2.0000000000000004,14.000000000000005,8.000000000000004,0.35000000000000014,0.20000000000000004,0.25,0.22000000000000006
0.1,0.19999999999999996,0.3,0.3,0.3,0.3,0.3,0.018200000000000004,0.018200000000000004,2.0,2.0,14.0,7.999999999999997,0.35,0.19999999999999998,0.25,0.22
0.2,0.19999999999999987,0.29999999999999977,0.28545113753877943,0.29999999999999977,0.28545113753877943,0.28545113753877943,0.018340694983339074,0.018386789573135692,1.8808630950654934,1.9531962159812697,15.11178660109846,8.544256406972872,0.33427463760772125,0.1779454895363666,0.22721861261059395,0.21141221492244042
0.3,0.19999999999999984,0.2999999999999997,0.25729058945191285,0.2999999999999997,0.25729058945191285,0.25729058945191285,0.018527290457696573,0.018634517588570976,1.722858831074341,1.8911231123535934,17.29550358269714,9.532029088561023,0.3134190151442028,0.1486958905526828,0.19700499954804845,0.20002274109617357
0.4,0.19999999999999996,0.29999999999999993,0.22548474663908982,0.29999999999999993,0.22548474663908982,0.22548474663908982,0.018550240703205788,0.018664986809720785,1.7034251515460188,1.883488452549121,19.831468772947257,10.503787225868663,0.31085388510858314,0.14509834629265764,0.1932888867114788,0.19862189672182
0.5,0.2,0.3,0.2,0.3,0.2,0.2,0.0182,0.0182,2.0,2.0,22.0,11.0,0.35,0.19999999999999996,0.25,0.22
0.6,0.20000000000000004,0.29999999999999993,0.18827032823930448,0.29999999999999993,0.18827032823930448,0.18827032823930448,0.01735267075736147,0.017075068152526754,2.7174966799289857,2.281873695308878,23.252278537663933,10.702726489423961,0.4447052914740624,0.3328223025754705,0.38719988634135405,0.2717195514226256
0.7,0.19999999999999996,0.2999999999999998,0.1876000612815504,0.2999999999999998,0.1876000612815504,0.1876000612815504,0.016226947901168368,0.015580535179231983,3.6707299347185764,2.656358187760389,23.722939442376994,9.860385362068289,0.5705264078122627,0.509283935548037,0.569477376777791,0.3404317806467756
0.8,0.19999999999999993,0.29999999999999977,0.19276111685625638,0.29999999999999977,0.19276111685625638,0.19276111685625638,0.015127174486447835,0.014120453221749837,4.6019898677276,3.022210303809667,23.71748121623449,8.86298518322545,0.693447176452564,0.6816778881037188,0.7475531233801875,0.4075600996208203
0.9,0.19999999999999996,0.2999999999999998,0.1985254126929411,0.2999999999999998,0.1985254126929411,0.1985254126929411,0.014357693568227026,0.013098874421714469,5.253566582314878,3.2781868699118446,23.541402361331713,8.100534518187898,0.7794514248329296,0.8022971494285353,0.8721477782194207,0.45452792029313005
0.95,0.2,0.29999999999999993,0.2,0.29999999999999993,0.2,0.2,0.01419192,0.01287879,5.393939389999998,3.3333333299999994,23.484848480000004,7.929292929999999,0.7979798,0.82828283,0.8989898999999998,0.46464646
1.0,0.2,0.3,0.2,0.3,0.2,0.2,0.014191919999999998,0.012878789999999998,5.39393939,3.33333333,23.48484848,7.92929293,0.7979798,0.8282828299999999,0.8989898999999999,0.46464645999999993
1.05,0.2,0.30000000000000004,0.19954756980351604,0.30000000000000004,0.19954756980351604,0.19954756980351604,0.014241095442440024,0.012944076335618622,5.352298886038531,3.3169745606084753,23.50282517527392,7.980540577608998,0.7924835013060628,0.8205743795342602,0.891027392896447,0.46164487372630125
