,chordmer,kappa_le,kappa_te,stagger
-0.05,0.03175217847214619,-21.392939755784347,-2.514557780077162,-11.953748767930755
0.0,0.03172380809423735,-22.320403136487077,-2.1423896817466836,-12.23139640911688
0.05,0.031710528541584175,-22.968824585558075,-1.906276477857622,-12.43755053170785
0.1,0.031705289410628966,-23.94415064565498,-1.9273789996229667,-12.935764822638973
0.2,0.03169142847652663,-25.548554809296633,-2.4351715425145883,-13.99186317590561
0.3,0.03166572309347526,-27.413633015633813,-3.4018790392202067,-15.40775602742701
0.4,0.03165070645942145,-29.723766261125892,-4.7746482781810915,-17.249207269653493
0.5,0.031637528053459,-32.40672779968025,-6.542115093998785,-19.474421446839514
0.6,0.031624328831755595,-35.3965313412823,-8.681974325240216,-22.03925283326126
0.7,0.03161344507092113,-38.72934363892403,-11.188757177855173,-24.9590504083896
0.8,0.031605022150873775,-42.358911589867695,-14.08011913884956,-28.219515364358628
0.9,0.03160205025395742,-46.22767701761943,-17.392344609814053,-31.81001081371674
0.95,0.03160122353680958,-48.29522133676501,-19.22602796162655,-33.760624649195776
1.0,0.03159999999999999,-48.842692444272174,-19.2402472415327,-34.04146984290244
1.05,0.03159775241312715,-49.37314012578,-19.285510268314194,-34.3293251970471
